Model,Term,Coefficient,StdErr,Relativity,PValue
frequency,Intercept,-3.9590880573794296,0.046481916262836716,0.019080506687243037,0.0
frequency,C(Area)[T.B],0.051425022016487854,0.021743641731023226,1.0527702487425288,0.018027139564275468
frequency,C(Area)[T.C],0.08639382430692745,0.018046320017352704,1.090235605051319,1.6900849525545325e-06
frequency,C(Area)[T.D],0.18392868872842041,0.019342914467887593,1.201930108875729,1.927994369842173e-21
frequency,C(Area)[T.E],0.2251117653118726,0.025591259024935795,1.2524626902527813,1.4123530910728112e-18
frequency,C(Area)[T.F],0.22803773671786956,0.08907426061050511,1.2561327268642717,0.01046463678115515
frequency,C(Region)[T.R21],0.1278956094408034,0.08164123999740423,1.1364343634860667,0.11721840883225736
frequency,C(Region)[T.R22],0.056200927623794576,0.05173162261129396,1.0578102056761842,0.27730468753578363
frequency,C(Region)[T.R23],-0.0646831356067018,0.060813713911327595,0.9373644337378478,0.28749750101161653
frequency,C(Region)[T.R24],0.06457876010201738,0.024488751425756756,1.0667095890923137,0.00836234752229689
frequency,C(Region)[T.R25],-0.0008426139074347431,0.04484280687507621,0.9991577409919757,0.9850083187602777
frequency,C(Region)[T.R26],-0.01575588744856989,0.048912546983913834,0.984367587211237,0.7473590333884268
frequency,C(Region)[T.R31],-0.11320329063667994,0.03523091466755261,0.8929691094040746,0.0013127372765881504
frequency,C(Region)[T.R41],-0.24776538553178534,0.04558418737870049,0.7805430484898686,5.4693197050694186e-08
frequency,C(Region)[T.R42],-0.021297787493520428,0.0888855460755086,0.9789274088213751,0.8106332938217212
frequency,C(Region)[T.R43],-0.08983700638939253,0.13405968234261834,0.9140801623557889,0.5027768646413175
frequency,C(Region)[T.R52],-0.013769793997360771,0.030342272226727036,0.986324575967767,0.6499616133137558
frequency,C(Region)[T.R53],0.07719578159346745,0.028828052521062436,1.0802535494519192,0.007410728116750153
frequency,C(Region)[T.R54],-0.04707447720045697,0.03865088380354303,0.9540163424780331,0.22324657978083629
frequency,C(Region)[T.R72],-0.08791993028982721,0.033742425410682446,0.9158342043669349,0.009170820793797664
frequency,C(Region)[T.R73],-0.12575766182564443,0.04294646892654728,0.8818285216056078,0.003408844119146543
frequency,C(Region)[T.R74],0.18166456577831308,0.06579761572832014,1.19921186970684,0.005763178632268947
frequency,C(Region)[T.R82],0.07633706732804395,0.024232278019756505,1.0793263184889357,0.001631461643065398
frequency,C(Region)[T.R83],-0.29084151670804387,0.07550545780755048,0.7476341561516865,0.0001171919297480781
frequency,C(Region)[T.R91],-0.01690322265973069,0.03264112758964318,0.9832388352699496,0.604562614687816
frequency,C(Region)[T.R93],-0.005895902749123693,0.025157398726073116,0.9941214439772093,0.8147050531644147
frequency,C(Region)[T.R94],0.10631466456575146,0.06700948025754914,1.1121717825031168,0.1126119825991657
frequency,C(VehBrand)[T.B10],-0.004459862301530059,0.03681319997684513,0.9955500681160941,0.9035734502301056
frequency,C(VehBrand)[T.B11],0.07453113390214273,0.03960220743100259,1.0773788860089057,0.0598367715627322
frequency,C(VehBrand)[T.B12],0.1542217978300206,0.01747504243192237,1.1667496406203253,1.0920552838963006e-18
frequency,C(VehBrand)[T.B13],0.03131436380068228,0.04092214147071507,1.0318098165632852,0.4441416767563112
frequency,C(VehBrand)[T.B14],-0.15743615332506405,0.07844280632306821,0.8543313580837264,0.044747706961123276
frequency,C(VehBrand)[T.B2],-0.014046641874230568,0.01527078669179596,0.9860515518978167,0.35765769660884394
frequency,C(VehBrand)[T.B3],-0.005733188379666226,0.02187343375515323,0.9942832149820068,0.7932386583996915
frequency,C(VehBrand)[T.B4],-0.03666455108115367,0.029744812458980065,0.9639994536921368,0.2177112927990983
frequency,C(VehBrand)[T.B5],0.06661237076402245,0.024762884707636768,1.0688810683092398,0.007145019552070136
frequency,C(VehBrand)[T.B6],-0.046904230805461695,0.02837466398452676,0.9541787741474174,0.09832432782412831
frequency,C(VehGas)[T.Regular],0.05295295969054135,0.010939769302622181,1.0543800455891448,1.2957206578195495e-06
frequency,VehPower,0.013468694344645758,0.002758548584065395,1.013559805799573,1.0473365982224856e-06
frequency,VehAge,-0.03875594032659146,0.0011668371296500908,0.961985462356072,6.643198537980165e-242
frequency,DrivAge,0.006528757132528274,0.0003942013357802387,1.006550115924197,1.311905561736132e-61
frequency,BonusMalus,0.022430606511966624,0.00030699741248188387,1.0226840640876806,0.0
frequency,Density,-1.4740639530410216e-06,3.6878382374261683e-06,0.9999985259371333,0.6893704991376336
